ID_Municipio,Municipio,Sección Electoral,Población Aprox.,Promotores Ambientales,Fiscalización 3ra Categoría,GIRSU y Residuos,Áreas Protegidas y Arbolado,Otras Acciones Ambientales,Fuentes Oficiales,,,,,,,,,
MUN-BA-004,Navarro,Primera,19000,Articulación con el Ministerio de Ambiente de la Provincia de Buenos Aires para talleres de educación ambiental y jornadas de concientización comunitaria. El municipio cuenta con campañas barriales de separación en origen y programas de recolección diferenciada comunitaria con promotores ambientales locales y articulación escolar.,"Competencia directa y reservada del Ministerio de Ambiente de la PBA (ex OPDS) conforme a la Ley Provincial N° 11.459 y su Decreto Reglamentario 531/19. El Municipio interviene en la categorización de 1ra y 2da categoría y realiza inspecciones conjuntas con inspectores provinciales ante denuncias de vuelcos o pasivos ambientales. Cuenta con Sector Industrial Planificado (SIP) con radicación de industrias alimenticias, lácteas y de servicios agropecuarios.","Dispone de Planta de Tratamiento y Clasificación de Residuos Sólidos Urbanos (RSU) municipal donde se procesan fracciones reciclables (plásticos, cartón, vidrio, metales). Implementación progresiva del sistema de contenedores diferenciados en el casco urbano y localidades del interior (Las Marianas, Villa Moll, JJ Almeyra). Programa de gestión de RAEEs (residuos electrónicos) y Aceite Vegetal Usado (AVU).","Humedal y Cuenca de la Laguna de Navarro (ecosistema lacustre de alto valor recreativo, faunístico e hídrico pampeano). Plan de Manejo y Protección del Arbolado Público Urbano con censo forestal municipal y vivero de especies nativas para reforestación de bulevares y plazas.",Regulación de distancias de aplicación de fitosanitarios y agroquímicos en zonas periurbanas mediante ordenanza municipal. Convenios con el programa CampoLimpio para la recepción y triple lavado de envases vacíos de fitosanitarios. Proyectos de iluminación LED eficiente y preservación de la cuenca hídrica del arroyo Navarro.,https://navarro.gob.ar/areas/ambiente/ ; https://www.ambiente.gba.gob.ar,,,,,,,,,
MUN-BA-005,Suipacha,Primera,11000,Equipo municipal de educación ambiental y promotores verdes que coordinan talleres en escuelas y centros comunitarios. Impulso a la participación ciudadana en la campaña 'Suipacha Recicla' y difusión puerta a puerta de pautas de compostaje domiciliario y reciclaje.,Fiscalización de industrias de 3ra categoría a cargo exclusivo del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459). El municipio cuenta con un Sector Industrial Planificado (SIP Suipacha) enfocado predominantemente en la industria láctea,quesera,agroindustrial y metalmecánica liviana,ejerciendo control preventivo sobre habilitaciones comerciales y efluentes industriales en conjunto con la provincia.,"Red municipal de Puntos Verdes distribuida en barrios y plazas para la recolección selectiva de secos. Planta de Separación y Clasificación de RSU en predio municipal. Plan integral de saneamiento, ordenamiento y mitigación de pasivos en el predio de disposición final de residuos.",Ordenanza N° 2731/2024 de Protección y Censo del Arbolado Público municipal. Protección de las riberas y bañados del Río Luján y arroyos afluentes que atraviesan el partido. Campañas anuales de forestación con ejemplares autóctonos en espacios públicos.,Ordenanza regulatoria para la aplicación de productos fitosanitarios y agroquímicos con zona de exclusión y amortiguamiento periurbano. Instalación de sensores para monitoreo de calidad del aire en convenio con Ambiente PBA. Fomento del programa municipal de recolección de pilas,baterías y AVU.,https://suipacha.gob.ar/ambiente/ ; https://sibom.slyt.gba.gob.ar,,,,,
MUN-BA-006,General Las Heras,Primera,19000,Programa 'Naturalmente Las Heras' con promotores ambientales que gestionan ecoestaciones y talleres de reciclado. Capacitación continua a delegaciones y escuelas distritales en articulación con el Ministerio de Ambiente de la PBA y la Autoridad de Cuenca Matanza Riachuelo (ACUMAR).,Doble esquema de fiscalización ambiental: fiscalización industrial bajo órbita de ACUMAR y el Ministerio de Ambiente PBA para establecimientos de 3ra categoría. Parque Industrial General Las Heras en expansión con industrias manufactureras,químicas y de logística. El municipio cuenta con inspectores ambientales para relevamiento de 1ra y 2da categoría y control de empadronamiento industrial obligatorio.,"Planta de Tratamiento y Recuperación de Residuos Sólidos Urbanos. Red de Estaciones de Reciclado 'Naturalmente' en cascos urbanos y delegaciones (Villars, Plomer, Hornos). Equipamiento provisto por ACUMAR y Provincia (camiones compactadores y volcadores para recolección diferenciada). Plan de erradicación de microbasurales rurales.",Humedales de la Cuenca Alta del Río Matanza-Riachuelo con monitoreo hidrobiológico sistemático junto a ACUMAR. Plan Director de Arbolado Urbano y reforestación de paseos ferroviarios y corredores verdes interurbanos.,Integración a los planes de saneamiento integral de ACUMAR (control de vuelcos industriales,monitoreo de napas y calidad de agua). Ordenanza local de restricción y recetas agronómicas obligatorias para fitosanitarios. Promoción de luminarias solares y eficiencia energética en dependencias públicas.,https://gobiernodelasheras.com ; https://www.acumar.gob.ar,,,,,,,
MUN-BA-007,Salto,Segunda,41000,Cuerpo activo de Promotoras Ambientales en articulación directa con el Ministerio de Ambiente de la Provincia de Buenos Aires. Despliegue de dispositivos territoriales de concientización,talleres 'EcoComunidad' y fomento de la separación en origen puerta a puerta en barrios céntricos y periféricos.,"Supervisión de industrias de 3ra categoría ejercida por el Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459). Importante núcleo agroindustrial y de procesamiento de alimentos (frigoríficos avícolas, molinos, fábricas de golosinas y snacks). El área de Ambiente municipal realiza monitoreos de efluentes líquidos industriales y emisiones gaseosas en coordinación con organismos provinciales.",Hito de gestión: Cierre definitivo del histórico basural a cielo abierto e inauguración del nuevo Complejo Ambiental GIRSU con planta de separación automatizada y celda de disposición sanitaria. Entrega de camiones para recolección diferenciada y maquinarias de enfardado provistas por la Provincia. Cooperativas de recicladores urbanos formalizadas e integradas al proceso.,Plan de protección de la ribera del Río Salto y balneario municipal. Programa de preservación y censo del arbolado público urbano con reforestación comunitaria de especies autóctonas.,Monitoreo continuo de la cuenca del Río Salto para mitigación de inundaciones y conservación de cauces. Ordenanza regulatoria de fitosanitarios y agroquímicos con control de zonas de exclusión urbana. Nodo de recepción de envases de agroquímicos en articulación con CampoLimpio.,https://salto.gob.ar ; https://www.ambiente.gba.gob.ar/noticias/kicillof_y_vilar_en_salto_cierre_del_basural_e_inauguraci%C3%B3n_de_complejo_ambiental,,,,,,,,
MUN-BA-008,Baradero,Segunda,41000,Red de promotores ambientales municipales y promotoras comunitarias en articulación con cooperativas de recuperadores urbanos. Campañas educativas en escuelas distritales y eventos populares de concientización en economía circular y gestión de reciclables.,Competencia de fiscalización de 3ra categoría bajo el Ministerio de Ambiente PBA. Distrito con alta densidad fabril concentrada en el Parque Industrial Baradero e industrias de gran escala (química,molienda húmeda de maíz/almidones,autopartes,papeleras). La Dirección de Ambiente local interviene en mediaciones vecinales por olores/vuelcos y fiscalización de establecimientos de 1ra y 2da categoría.,Planta Municipal de Reciclaje y Tratamiento de RSU. Nueva ordenanza GIRSU marco para la separación en origen y erradicación progresiva del basural municipal a cielo abierto. Fortalecimiento del parque de maquinaria para recolección diferenciada con financiamiento provincial y nacional.,"Reserva Natural Urbana Municipal 'Parque del Este' (36 hectáreas protegidas de selva en galería, talares y albardones del Delta del Paraná). Reserva Natural Municipal Paraná Guazú (islas de la 4ta sección). Plan municipal de protección y conservación del arbolado nativo costero.",Control ambiental sobre el corredor ribereño y humedales del Río Baradero / Delta del Paraná. Ordenanza sobre gestión y aplicación de fitosanitarios con delimitación de zonas periurbanas protegidas. Programa municipal de recolección de AVU y residuos electrónicos.,https://baradero.gob.ar ; https://es.wikipedia.org/wiki/Reserva_natural_urbana_Parque_del_Este,,,,,,
MUN-BA-009,Exaltación de la Cruz,Segunda,41000,Dirección de Producción y Medio Ambiente coordina promotores locales en el programa 'Echando Raíces' y proyectos de reciclaje en colegios de Capilla del Señor,Los Cardales y Pavón. Voluntariado ambiental vecinal y ecotalleres de huerta y compostaje.,Fiscalización de industrias de 3ra categoría bajo la competencia del Ministerio de Ambiente PBA (Ley 11.459). El distrito alberga polos productivos de vanguardia como el Parque Industrial Ecológico Ruta 6 (Los Cardales) y Parque de la Cruz (Ruta 8),con estrictas pautas de zonificación para industrias de bajo impacto ambiental o con tratamientos avanzados de efluentes.,Sistema de recolección diferenciada y Puntos Limpios barriales. Planta de clasificación y recuperación de secos. Proyectos para la remediación de basurales periféricos y articulación con empresas radicadas en parques industriales para reciclado y valorización energética de descartes.,Preservación del valle de inundación del Arroyo de la Cruz y humedales asociados. Ordenanza de arbolado público que exige compensación forestal a nuevos desarrollos urbanísticos (barrios cerrados y clubes de campo) y reforestación de áreas verdes públicas.,Ordenanza pionera en regulación de fitosanitarios y fumigaciones (estableciendo amplias zonas de exclusión y fomento de la transición agroecológica periurbana). Programas de eficiencia energética y promoción de construcciones sustentables en el polo ecológico.,https://www.exaltaciondelacruz.gob.ar ; https://parquedelacruz.com.ar,,,,,,,
MUN-BA-010,Ramallo,Segunda,41000,Iniciativas de promotores ambientales a través de la Subsecretaría de Políticas Ambientales municipal y organizaciones no gubernamentales locales. Jornadas de limpieza de costas,concientización en escuelas y difusión de buenas prácticas de separación en origen.,Distrito de máxima complejidad industrial y portuaria del norte bonaerense. Control de 3ra categoría bajo la estricta jurisdicción del Ministerio de Ambiente de la PBA y Prefectura Naval en zona portuaria. Alberga el Parque Industrial COMIRSA (compartido con San Nicolás),terminales portuarias cerealeras,plantas químicas,petroquímicas y siderúrgicas. El municipio cuenta con área técnica de monitoreo y recepción de denuncias ambientales.,Programa GIRSU municipal con planta de tratamiento y acondicionamiento de residuos reciclables. Problemática histórica en el predio de disposición final con incendios y saturación,demandando intervención del Ministerio de Ambiente PBA para saneamiento integral y readecuación operativa.,Reserva Natural Municipal de Ramallo (área de barrancas,bosque nativo de talares y albardón costero sobre el Río Paraná). Protección de las islas y humedales del Delta Superior del Paraná. Plan de arbolado urbano con preservación de especies autóctonas en paseos costeros.,Monitoreo de efluentes y calidad de agua en la cuenca del Río Paraná y arroyos locales (Arroyo Las Hermanas). Convenio INTA-FAO para proyectos de ganadería sustentable en bosques nativos. Regulación y monitoreo de acopio y aplicación de agroquímicos en zonas rurales extensivas.,https://www.ramallo.gob.ar/ambiente ; https://www.lavozderamallo.com.ar,,,
MUN-BA-011,Arrecifes,Segunda,33000,Dirección de Políticas Ambientales municipal ejecuta campañas con promotores comunitarios en el casco urbano y delegaciones (Todd,Viña). Jornadas itinerantes de recolección de residuos especiales,talleres educativos y actividades de concientización sobre economía circular.,Fiscalización de industrias de 3ra categoría a cargo del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459). Sector Industrial Planificado de Arrecifes con predominio de empresas agroindustriales,molinos harineros,plantas metalmecánicas y talleres de servicios viales/agrícolas. Control municipal focalizado en habilitaciones y zonificación de 1ra y 2da categoría.,Planta de Tratamiento y Separación de Residuos Urbanos (RSU Arrecifes). Sistema de recolección diferenciada y campañas periódicas para residuos especiales (RAEEs,pilas y baterías,neumáticos fuera de uso - NFU y Aceite Vegetal Usado - AVU). Trabajo continuo en mitigación y saneamiento del vertedero local.,Protección de la ribera del Río Arrecifes,zona del Tajamar y Parque Balneario Municipal. Ordenanza de Arbolado Público que regula las podas,extracciones y reposición obligatoria con especies nativas.,Ordenanza municipal que delimita las zonas de amortiguamiento y resguardo ambiental para la pulverización de fitosanitarios. Convenios para la recepción de bidones de agroquímicos con triple lavado. Proyectos de saneamiento y dragado preventivo de la cuenca del Río Arrecifes.,https://arrecifes.gob.ar/category/medioambiente/ ; https://recicladores.com.ar,
MUN-BA-012,Colón,Segunda,29000,Promoción ambiental comunitaria impulsada desde el área municipal de Medio Ambiente,involucrando centros educativos,clubes y comisiones barriales. Campañas de compostaje en el hogar,separación de plásticos y talleres de concientización para la reducción del uso de bolsas de un solo uso.,Control de 3ra categoría a cargo del Ministerio de Ambiente PBA (Ley 11.459). El distrito cuenta con un Sector Industrial Planificado y diversas agroindustrias (acopiadoras de granos,semillas,semilleros internacionales,metalúrgica de implementos agrícolas). La gestión municipal controla efluentes menores e higiene urbana.,Planta de Tratamiento y Reciclaje de RSU con separación en cinta y venta de materiales recuperados (fardos de cartón,PET,hojalata). Implementación de Puntos Limpios en plazas y barrios. Plan de remediación y reconversión técnica del basural comunal.,Complejo del Lago Municipal y Parque de la Isla de Colón (principal pulmón verde y reservorio hídrico-ecológico urbano). Programa de arbolado urbano con cuadrillas de poda correctiva y plantación de nativas en espacios públicos y accesos viales.,Ordenanza municipal de regulación del uso y aplicación terrestre de agroquímicos/fitosanitarios con fiscalización de recetas agronómicas y fiscalización de distancias mínimas a caseríos y escuelas rurales. Centro de Acopio Transitorio (CAT) para envases fitosanitarios.,https://colon.gob.ar ; https://www.ambiente.gba.gob.ar,
MUN-BA-013,San Antonio de Areco,Segunda,28000,Programa consolidado de Promotores Ambientales y educación comunitaria 'Areco Sustentable'. Pionero en autodiagnóstico GIRSU intermunicipal. Fuerte articulación con cooperativas de recicladores urbanos,escuelas rurales y proyectos agroecológicos locales ('Bien de la Tierra').,Fiscalización de industrias de 3ra categoría sujeta al control del Ministerio de Ambiente PBA (Ley 11.459). El Parque Industrial de San Antonio de Areco y su zona industrial albergan empresas alimenticias,textiles,farmacéuticas y de insumos agropecuarios. La Secretaría de Desarrollo y Producción y Ambiente supervisa habilitaciones y el cumplimiento de parámetros ambientales locales.,Planta de Reciclaje y Separación de Residuos 'Areco Recicla'. Sistema integral de recolección diferenciada domiciliaria (bolsa verde / negra) y red de Puntos Verdes. Plan integral de tratamiento de orgánicos para compostaje público y proyectos de remediación de pasivos en disposición final.,Reserva Natural Urbana Municipal 'Parque Criollo y Ribera del Río Areco'. Cuenca del Río Areco sujeta a planes de conservación de humedales y mitigación de anegamientos. Plan Maestro de Arbolado Público con conservación de árboles históricos y forestación autóctona.,Ordenanza de fomento de la producción agroecológica sin agrotóxicos en el periurbano. Ordenanza estricta de fitosanitarios con zonas de exclusión escolar y urbana. Proyectos de energía solar en edificios públicos y preservación del patrimonio paisajístico y natural gauchesco.,https://areco.ar/desarrollo-y-produccion/ ; https://metropolitana.org.ar,,,,,,
