ID_Municipio,Municipio,Sección Electoral,Pobl. Aprox,Portal y Transparencia,Turnos Digitales,Cobro Electrónico de Tasas,Expediente Digital (GDE),Reclamos Urbanos (147 / App),Sistema RAFAM,Ventanilla Única / Trámites,Sitio Web / Fuente
MUN-BA-004,Navarro,Primera,19000,Implementado (noticias/licitaciones),Licencias y App Mi Navarro,App Mi Navarro / En desarrollo,Parcial (tickets),App Mi Navarro / Web,Operativo,Semipresencial,https://navarro.gob.ar/
MUN-BA-005,Suipacha,Primera,11000,Implementado (Transparencia / SIBOM),Web Licencias,Portal Autogestión,Parcial,Formulario Web,Operativo,Semipresencial,https://suipacha.gob.ar/
MUN-BA-006,General Las Heras,Primera,19000,Implementado (Balances Tesorería),Licencias y Salud,Suite RAFAM Tasas Web,Parcial,Canal Web,Operativo,Semipresencial,https://gobiernodelasheras.com/
MUN-BA-007,Salto,Segunda,41000,Activo,Parcial,Módulo Web,Parcial,Formulario Web,Implementado,En desarrollo,https://salto.gob.ar/
MUN-BA-008,Baradero,Segunda,41000,Activo (Gobierno Abierto),Activo,Botón Pago Virtual,Parcial,CAV,Implementado,Parcial,https://gobiernoabierto.baradero.gob.ar/
MUN-BA-009,Exaltación de la Cruz,Segunda,41000,Activo (Cuentas Claras),Activo (Bot),Mis Deudas (Pago PIN),Parcial,Bot interactivo,Implementado,Guía unificada,https://www.exaltaciondelacruz.gob.ar/
MUN-BA-010,Ramallo,Segunda,41000,Activo,Activo (Licencias/Habilitaciones),SIATSEH QR,Parcial,App/Sistema QR,Implementado,Activo,https://ramallo.gob.ar/
MUN-BA-011,Arrecifes,Segunda,33000,Activo,Activo (Hospital/Licencias),Factura Única QR,Inicial,Línea 147,Implementado,Parcial,https://arrecifes.gob.ar/
MUN-BA-012,Colón,Segunda,29000,Activo,Activo (Autogestión),Pago en línea QR,Parcial (Inergram Cloud),Módulo Web,Implementado,Activo,https://colon.gov.ar/
MUN-BA-013,San Antonio de Areco,Segunda,28000,Activo (Transparencia),Activo (WhatsApp),Mis Tasas / Débito,Avanzado (Consulta Expedientes),CAV WhatsApp,Implementado,Parcial,https://areco.ar/
MUN-BA-014,Rojas,Segunda,27000,Activo (Transparencia 100% ASAP),Activo,Red Link / Web,Parcial,CAV Web,Implementado,Activo,https://rojas.gov.ar/
MUN-BA-015,San Andrés de Giles,Segunda,27000,Activo (Puntaje Ideal ASAP),Activo,Boleta Digital / Pago Web,Parcial,Recepción Web/Tel,Implementado,Parcial,https://www.sanandresdegiles.gob.ar/
MUN-BA-016,Carmen de Areco,Segunda,18000,Activo (Transparencia),Activo,Consulta y Pago Web,Parcial,Centralizado,Implementado,Activo,https://carmendeareco.gob.ar/
MUN-BA-017,Capitán Sarmiento,Segunda,17000,Activo (Desregulación),Activo,Pago Internet Simplificado,Avanzado (Agilización digital),Atención directa,Ajustado a tasa simplificada,Avanzado,http://tasasmunicsarmeinto.ddns.net/
MUN-BA-003,Magdalena,Tercera,20000,Implementado,Salud y Licencias,Suite RAFAM Tasas Web,En proceso (SIBOM),Parcial,Implementado,Parcial,https://magdalena.gob.ar/
MUN-BA-018,Lobos,Tercera,43000,Implementado (Gobierno Abierto),Trámites en línea,Impresión y Pago,En proceso,Portal Web,Implementado,Implementado,https://www.lobos.gob.ar/
